Area_name,Unemployed_2016,Unemployment_rate_2016,Employed_2016,High school diploma only 2012-2016,"Percent of adults with a high school diploma only, 2012-2016",Auto/retail debt delinquency rate,Average household income
United States,"7,738,212",4.9,"151,183,680","58,820,411",27.5,4.0,"81,346"
Alabama,"127,551",5.9,"2,045,624","1,009,593",31.0,9.0,"64,632"
Alaska,"25,100",6.9,"337,947","130,511",27.7,3.0,"93,312"
Arizona,"172,915",5.4,"3,052,788","1,078,358",24.3,4.0,"74,053"
Arkansas,"53,012",3.9,"1,289,549","683,886",34.7,5.0,"61,167"
California,"1,044,831",5.5,"18,048,827","5,260,904",20.6,4.0,"96,961"
Colorado,"94,340",3.3,"2,798,928","780,033",21.7,3.0,"88,246"
Connecticut,"97,981",5.1,"1,806,575","673,220",27.3,3.0,"105,255"
Delaware,"21,447",4.5,"452,434","199,461",31.1,4.0,"81,350"
District of Columbia,"24,065",6.1,"370,521","83,367",18.0,5.0,"114,432"
Florida,"472,941",4.8,"9,373,059","4,111,029",29.2,4.0,"72,784"
Georgia,"264,096",5.4,"4,662,849","1,850,601",28.1,6.0,"75,363"
Hawaii,"20,135",2.9,"664,032","270,583",27.8,3.0,"95,904"
Idaho,"30,577",3.8,"782,279","289,085",27.6,3.0,"68,006"
Illinois,"380,431",5.8,"6,169,560","2,287,126",26.5,3.0,"84,561"
Indiana,"147,035",4.4,"3,180,104","1,486,051",34.2,4.0,"69,612"
Iowa,"61,149",3.6,"1,634,964","656,680",31.9,3.0,"73,644"
Kansas,"59,923",4.0,"1,425,413","499,895",26.6,3.0,"73,385"
Kentucky,"103,121",5.1,"1,909,158","990,322",33.3,5.0,"64,852"
Louisiana,"128,576",6.0,"1,997,358","1,038,591",33.9,7.0,"65,696"
Maine,"26,243",3.8,"665,911","317,373",33.2,2.0,"70,392"
Maryland,"140,883",4.4,"3,037,763","1,030,305",25.4,4.0,"102,402"
Massachusetts,"140,306",3.9,"3,471,112","1,167,098",25.1,2.0,"101,911"
Michigan,"241,015",5.0,"4,599,266","1,978,662",29.6,3.0,"72,581"
Minnesota,"117,181",3.9,"2,919,097","940,315",25.7,2.0,"86,415"
Mississippi,"74,479",5.8,"1,204,481","593,422",30.4,7.0,"58,974"
Missouri,"140,250",4.6,"2,939,309","1,267,813",31.1,4.0,"70,871"
Montana,"21,638",4.1,"499,990","207,929",29.8,2.0,"69,308"
Nebraska,"31,093",3.1,"977,622","330,629",27.0,2.0,"74,586"
Nevada,"82,079",5.7,"1,348,265","544,288",28.3,4.0,"73,383"
New Hampshire,"21,298",2.9,"725,154","264,372",28.4,2.0,"90,910"
New Jersey,"225,268",5.0,"4,305,516","1,726,006",28.2,3.0,"105,185"
New Mexico,"62,028",6.7,"866,704","362,627",26.4,7.0,"64,515"
New York,"468,421",4.8,"9,200,266","3,569,454",26.4,3.0,"93,373"
North Carolina,"246,599",5.1,"4,608,229","1,765,772",26.4,5.0,"70,544"
North Dakota,"12,760",3.1,"401,671","131,086",27.4,2.0,"79,185"
Ohio,"287,981",5.0,"5,451,315","2,654,140",33.8,3.0,"71,456"
Oklahoma,"88,136",4.8,"1,741,277","801,598",31.6,6.0,"66,547"
Oregon,"98,262",4.8,"1,951,218","657,520",23.9,2.0,"77,460"
Pennsylvania,"347,589",5.4,"6,105,223","3,183,249",36.0,3.0,"78,053"
Rhode Island,"28,810",5.2,"524,745","200,648",27.7,3.0,"81,215"
South Carolina,"114,145",5.0,"2,179,521","963,022",29.5,8.0,"67,889"
South Dakota,"13,557",3.0,"438,377","171,623",30.8,2.0,"71,385"
Tennessee,"147,651",4.7,"2,987,074","1,451,602",32.8,6.0,"68,104"
Texas,"615,054",4.6,"12,702,122","4,286,126",25.1,7.0,"80,346"
Utah,"51,970",3.4,"1,459,309","393,484",23.1,2.0,"84,117"
Vermont,"11,173",3.2,"333,399","130,654",29.9,3.0,"75,854"
Virginia,"173,511",4.1,"4,069,139","1,378,019",24.5,4.0,"93,939"
Washington,"191,074",5.3,"3,444,126","1,101,156",22.9,2.0,"90,315"
West Virginia,"47,620",6.1,"733,980","524,971",40.5,4.0,"60,164"
Wisconsin,"125,042",4.0,"3,005,478","1,233,220",31.7,3.0,"75,113"
Wyoming,"15,870",5.3,"285,052","112,932",29.2,2.0,"75,574"
